Unnamed: 0,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferredOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromLastYear,OrderCount,DaySinceLastOrder,CashbackAmount
1348,12,Desktop,0,0,Installment,Female,0,1,Electronics,1,0,5.0,1,0.0,13,80.0,0.0
1180,12,Desktop,0,0,Installment,Female,0,1,Others,3,0,1.0,1,0.0,1,130.0,0.0
2121,2,Desktop,0,0,Mips,Male,0,1,Others,2,0,1.0,0,0.0,1,78.0,0.0
2156,2,Desktop,0,0,Installment,Female,0,1,Home Appliances,5,0,1.0,0,0.0,1,72.0,0.0
1959,3,Desktop,0,0,Installment,Female,0,1,Electronics,2,0,2.0,0,0.0,2,112.0,0.0
181,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0.0,1,0.0,0,0.0,0.0
2240,1,Desktop,0,0,Mips,Female,0,1,Home Appliances,5,0,1.0,1,0.0,1,50.0,0.0
1372,12,Desktop,0,0,Mips,Female,0,1,Home Appliances,5,0,1.0,1,0.0,2,169.0,0.0
1936,3,Desktop,0,0,Pay on Delivery,Female,0,1,Home Appliances,4,0,1.0,0,0.0,1,114.0,0.0
2119,2,Desktop,0,0,Pay on Delivery,Female,0,1,Home Appliances,2,0,2.0,1,0.0,2,78.0,0.0
1990,3,Desktop,0,0,Bank Transfer Payment,Female,0,1,Electronics,3,0,2.0,0,0.0,4,106.0,8989.0
764,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,0,0.0,0,0.0,0.0
177,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0.0,1,0.0,0,0.0,0.0
45,12,Desktop,0,0,No Payment,Male,0,1,No Order,1,0,0.0,0,0.0,0,0.0,0.0
1386,12,Desktop,0,0,Installment,Female,0,1,Electronics,2,0,1.0,0,0.0,1,99.0,0.0
1982,3,Desktop,0,0,Installment,Male,0,1,Home Appliances,2,0,2.0,0,0.0,1,107.0,0.0
777,12,Desktop,0,0,No Payment,Female,0,1,No Order,2,0,0.0,0,0.0,0,0.0,0.0
1578,5,Desktop,0,0,Pay on Delivery,Male,0,1,Electronics,1,0,2.0,1,0.0,1,179.0,0.0
2056,3,Desktop,0,0,Pay Now,Male,0,1,Electronics,1,0,1.0,1,0.0,1,95.0,0.0
541,12,Desktop,0,0,No Payment,Female,0,1,No Order,1,0,0.0,0,0.0,0,0.0,0.0
1471,10,Desktop,0,0,Pay on Delivery,Female,0,1,Electronics,1,0,3.0,0,0.0,3,139.0,0.0
708,12,Desktop,0,0,No Payment,Male,0,1,No Order,3,0,0.0,1,0.0,0,0.0,0.0
1909,3,Desktop,0,0,Pay on Delivery,Female,0,1,Home Appliances,3,0,2.0,0,0.0,1,117.0,0.0
